age,id,workclass,education,marital-status,occupation,relationship,race,sex,native-country,target
61,tr8452, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
64,tr8453, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
35,tr8454, Private, Some-college, Separated, Adm-clerical, Not-in-family, Black, Male, United-States, <=50K
44,tr8455, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male, United-States, <=50K
20,tr8456, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
52,tr8457, Private, 10th, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
43,tr8458, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
32,tr8459, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male, United-States, <=50K
63,tr8460, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, South, <=50K
29,tr8461, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, United-States, >50K
42,tr8462, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Taiwan, <=50K
65,tr8463, Private, 10th, Divorced, Handlers-cleaners, Not-in-family, White, Female, United-States, <=50K
24,tr8464, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
42,tr8465, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
35,tr8466, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
40,tr8467, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, ?, >50K
38,tr8468, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
26,tr8469, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
46,tr8470, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
39,tr8471, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
29,tr8472, ?, Bachelors, Married-spouse-absent, ?, Not-in-family, White, Male, United-States, <=50K
42,tr8473, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
36,tr8474, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
26,tr8475, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
57,tr8476, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
55,tr8477, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K
35,tr8478, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
41,tr8479, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female, ?, <=50K
24,tr8480, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
47,tr8481, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
34,tr8482, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
44,tr8483, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
18,tr8484, ?, HS-grad, Never-married, ?, Unmarried, White, Female, United-States, <=50K
27,tr8485, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
36,tr8486, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
21,tr8487, Private, Bachelors, Never-married, Sales, Own-child, White, Male, United-States, <=50K
29,tr8488, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male, United-States, <=50K
25,tr8489, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
45,tr8490, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
28,tr8491, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
47,tr8492, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
20,tr8493, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
22,tr8494, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
76,tr8495, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
24,tr8496, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male, United-States, <=50K
54,tr8497, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
30,tr8498, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
33,tr8499, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
30,tr8500, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
40,tr8501, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
27,tr8502, ?, Some-college, Divorced, ?, Not-in-family, White, Male, United-States, <=50K
49,tr8503, Private, Assoc-voc, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
30,tr8504, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
22,tr8505, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female, United-States, <=50K
19,tr8506, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
46,tr8507, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
51,tr8508, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
56,tr8509, Private, 7th-8th, Widowed, Machine-op-inspct, Unmarried, Other, Female, Dominican-Republic, <=50K
53,tr8510, Private, Some-college, Widowed, Sales, Not-in-family, White, Female, United-States, <=50K
60,tr8511, ?, Assoc-voc, Widowed, ?, Not-in-family, White, Female, United-States, <=50K
27,tr8512, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
46,tr8513, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female, United-States, <=50K
37,tr8514, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
41,tr8515, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, Vietnam, <=50K
65,tr8516, ?, Assoc-voc, Married-civ-spouse, ?, Husband, White, Male, United-States, >50K
30,tr8517, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
57,tr8518, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
44,tr8519, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
32,tr8520, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
27,tr8521, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
57,tr8522, Local-gov, Some-college, Widowed, Adm-clerical, Unmarried, White, Female, Mexico, <=50K
59,tr8523, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
32,tr8524, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female, United-States, >50K
90,tr8525, ?, HS-grad, Widowed, ?, Not-in-family, White, Female, United-States, <=50K
22,tr8526, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
39,tr8527, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
38,tr8528, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, >50K
61,tr8529, Private, 9th, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
24,tr8530, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
25,tr8531, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
44,tr8532, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
55,tr8533, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, >50K
90,tr8534, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
30,tr8535, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
44,tr8536, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
36,tr8537, Private, 10th, Divorced, Craft-repair, Other-relative, Black, Male, United-States, <=50K
63,tr8538, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
60,tr8539, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
34,tr8540, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
49,tr8541, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
47,tr8542, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
42,tr8543, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
53,tr8544, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male, Italy, <=50K
23,tr8545, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female, United-States, <=50K
28,tr8546, ?, Assoc-voc, Separated, ?, Unmarried, White, Female, Mexico, <=50K
43,tr8547, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
32,tr8548, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
43,tr8549, Private, Bachelors, Divorced, Sales, Unmarried, White, Male, United-States, >50K
31,tr8550, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
29,tr8551, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female, United-States, <=50K
24,tr8552, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
39,tr8553, Private, Assoc-voc, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male, United-States, <=50K
20,tr8554, Private, 5th-6th, Never-married, Handlers-cleaners, Not-in-family, White, Male, Mexico, <=50K
23,tr8555, ?, Some-college, Never-married, ?, Not-in-family, White, Male, United-States, <=50K
42,tr8556, Private, 11th, Separated, Other-service, Unmarried, White, Female, United-States, <=50K
53,tr8557, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
20,tr8558, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
58,tr8559, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
51,tr8560, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
25,tr8561, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
38,tr8562, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, White, Female, United-States, <=50K
41,tr8563, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
58,tr8564, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
25,tr8565, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Male, Dominican-Republic, <=50K
50,tr8566, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
32,tr8567, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
31,tr8568, Self-emp-inc, Doctorate, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
22,tr8569, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
37,tr8570, Private, HS-grad, Divorced, Handlers-cleaners, Other-relative, White, Male, El-Salvador, <=50K
32,tr8571, Private, Some-college, Never-married, Sales, Other-relative, White, Female, United-States, <=50K
46,tr8572, State-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
62,tr8573, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
40,tr8574, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male, ?, <=50K
56,tr8575, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male, United-States, >50K
37,tr8576, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, Japan, >50K
41,tr8577, Private, 1st-4th, Married-spouse-absent, Farming-fishing, Unmarried, White, Male, Mexico, <=50K
56,tr8578, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
20,tr8579, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
34,tr8580, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
45,tr8581, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
30,tr8582, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
51,tr8583, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
27,tr8584, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
38,tr8585, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
39,tr8586, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
57,tr8587, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
47,tr8588, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
77,tr8589, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
43,tr8590, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
46,tr8591, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
41,tr8592, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
20,tr8593, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
30,tr8594, State-gov, 10th, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
30,tr8595, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
22,tr8596, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
25,tr8597, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
18,tr8598, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
28,tr8599, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female, ?, <=50K
50,tr8600, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
28,tr8601, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female, United-States, <=50K
21,tr8602, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female, United-States, <=50K
37,tr8603, Private, Assoc-voc, Divorced, Tech-support, Own-child, White, Male, United-States, <=50K
28,tr8604, Federal-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female, United-States, <=50K
23,tr8605, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male, Mexico, <=50K
32,tr8606, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female, England, <=50K
27,tr8607, Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
55,tr8608, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female, United-States, <=50K
44,tr8609, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
25,tr8610, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
29,tr8611, Private, HS-grad, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
50,tr8612, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
18,tr8613, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
74,tr8614, Private, Bachelors, Widowed, Other-service, Not-in-family, White, Female, United-States, <=50K
22,tr8615, Private, 9th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
27,tr8616, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
27,tr8617, State-gov, Some-college, Never-married, Tech-support, Own-child, White, Female, United-States, <=50K
41,tr8618, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
24,tr8619, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
23,tr8620, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
34,tr8621, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
46,tr8622, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
32,tr8623, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
41,tr8624, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male, United-States, <=50K
29,tr8625, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
48,tr8626, Private, 9th, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female, China, <=50K
51,tr8627, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, Haiti, <=50K
34,tr8628, State-gov, 12th, Never-married, Adm-clerical, Not-in-family, Black, Female, United-States, <=50K
58,tr8629, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
52,tr8630, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
37,tr8631, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male, Puerto-Rico, >50K
53,tr8632, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
54,tr8633, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
36,tr8634, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
25,tr8635, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
20,tr8636, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
23,tr8637, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
39,tr8638, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
20,tr8639, Self-emp-not-inc, 10th, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
28,tr8640, Private, Assoc-voc, Never-married, Other-service, Other-relative, Black, Male, United-States, <=50K
73,tr8641, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
67,tr8642, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
56,tr8643, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
32,tr8644, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
42,tr8645, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
33,tr8646, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
37,tr8647, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
33,tr8648, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
31,tr8649, Private, 10th, Never-married, Adm-clerical, Unmarried, White, Female, United-States, <=50K
59,tr8650, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
21,tr8651, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male, United-States, <=50K
58,tr8652, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
24,tr8653, Local-gov, 10th, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
26,tr8654, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
26,tr8655, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
33,tr8656, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, Germany, <=50K
25,tr8657, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
21,tr8658, Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
24,tr8659, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
39,tr8660, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
68,tr8661, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
66,tr8662, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
38,tr8663, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
41,tr8664, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
71,tr8665, ?, 7th-8th, Widowed, ?, Other-relative, White, Female, Poland, <=50K
37,tr8666, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
54,tr8667, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
27,tr8668, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
49,tr8669, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
19,tr8670, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
25,tr8671, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
47,tr8672, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
40,tr8673, Private, Some-college, Married-civ-spouse, Sales, Other-relative, White, Male, United-States, <=50K
38,tr8674, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
25,tr8675, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
25,tr8676, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female, United-States, <=50K
23,tr8677, Private, 10th, Never-married, Handlers-cleaners, Other-relative, Other, Male, United-States, <=50K
28,tr8678, Private, Masters, Divorced, Sales, Own-child, White, Female, United-States, <=50K
29,tr8679, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, United-States, <=50K
32,tr8680, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
34,tr8681, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States, <=50K
52,tr8682, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States, >50K
33,tr8683, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
19,tr8684, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
68,tr8685, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
41,tr8686, Private, 10th, Never-married, Handlers-cleaners, Unmarried, White, Male, United-States, <=50K
18,tr8687, Self-emp-inc, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female, India, <=50K
29,tr8688, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
40,tr8689, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
51,tr8690, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Unmarried, White, Male, United-States, >50K
49,tr8691, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
20,tr8692, State-gov, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
38,tr8693, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
57,tr8694, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Male, Cuba, <=50K
35,tr8695, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
27,tr8696, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
25,tr8697, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
77,tr8698, ?, Masters, Married-civ-spouse, ?, Husband, White, Male, United-States, >50K
19,tr8699, ?, 10th, Never-married, ?, Unmarried, White, Female, United-States, <=50K
70,tr8700, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, >50K
25,tr8701, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
44,tr8702, Local-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, >50K
75,tr8703, ?, 10th, Widowed, ?, Other-relative, Asian-Pac-Islander, Female, China, <=50K
21,tr8704, ?, HS-grad, Never-married, ?, Not-in-family, White, Female, United-States, <=50K
21,tr8705, Private, HS-grad, Never-married, Sales, Own-child, White, Female, United-States, <=50K
47,tr8706, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
20,tr8707, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female, United-States, <=50K
32,tr8708, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
53,tr8709, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
19,tr8710, ?, HS-grad, Never-married, ?, Not-in-family, Other, Male, United-States, <=50K
58,tr8711, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
23,tr8712, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
36,tr8713, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
39,tr8714, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
34,tr8715, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
41,tr8716, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
72,tr8717, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
34,tr8718, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, >50K
51,tr8719, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
32,tr8720, Self-emp-not-inc, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
38,tr8721, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female, United-States, >50K
37,tr8722, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
21,tr8723, ?, Some-college, Never-married, ?, Own-child, Black, Male, United-States, <=50K
21,tr8724, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
26,tr8725, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
