workclass,id,education,marital-status,occupation,relationship,race,sex,native-country,target
 Private,tr6168, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Federal-gov,tr6169, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Black, Male, United-States, <=50K
 Private,tr6170, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6171, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 ?,tr6172, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr6173, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States, <=50K
 Self-emp-not-inc,tr6174, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male, United-States, >50K
 Private,tr6175, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr6176, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr6177, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6178, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private,tr6179, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female, United-States, <=50K
 Private,tr6180, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, United-States, <=50K
 Self-emp-not-inc,tr6181, Masters, Divorced, Exec-managerial, Unmarried, White, Male, United-States, >50K
 Private,tr6182, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 ?,tr6183, HS-grad, Separated, ?, Unmarried, White, Female, Mexico, <=50K
 Private,tr6184, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private,tr6185, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female, United-States, <=50K
 Self-emp-inc,tr6186, Masters, Divorced, Prof-specialty, Unmarried, White, Male, Mexico, >50K
 Private,tr6187, 10th, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private,tr6188, Assoc-acdm, Never-married, Transport-moving, Not-in-family, White, Male, Iran, <=50K
 Self-emp-not-inc,tr6189, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6190, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6191, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr6192, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6193, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, Canada, <=50K
 Private,tr6194, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, ?, >50K
 State-gov,tr6195, Bachelors, Never-married, Prof-specialty, Own-child, White, Female, United-States, <=50K
 Private,tr6196, Assoc-voc, Never-married, Sales, Not-in-family, White, Male, United-States, >50K
 ?,tr6197, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr6198, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Self-emp-not-inc,tr6199, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
 Private,tr6200, HS-grad, Separated, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Private,tr6201, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Private,tr6202, 11th, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
 ?,tr6203, 11th, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc,tr6204, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr6205, 9th, Never-married, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
 Private,tr6206, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Local-gov,tr6207, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private,tr6208, Some-college, Widowed, Sales, Unmarried, White, Male, United-States, >50K
 State-gov,tr6209, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 ?,tr6210, Bachelors, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, Taiwan, <=50K
 Private,tr6211, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
 Private,tr6212, Some-college, Divorced, Tech-support, Own-child, White, Female, United-States, <=50K
 Private,tr6213, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Local-gov,tr6214, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
 Local-gov,tr6215, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private,tr6216, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6217, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Local-gov,tr6218, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male, United-States, <=50K
 ?,tr6219, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc,tr6220, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, Italy, <=50K
 State-gov,tr6221, Prof-school, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, India, <=50K
 Private,tr6222, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6223, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 ?,tr6224, HS-grad, Never-married, ?, Own-child, Black, Female, United-States, <=50K
 Private,tr6225, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female, United-States, <=50K
 Self-emp-not-inc,tr6226, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6227, 11th, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6228, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Private,tr6229, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Self-emp-not-inc,tr6230, Some-college, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male, South, <=50K
 Private,tr6231, Bachelors, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Private,tr6232, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Self-emp-inc,tr6233, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr6234, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private,tr6235, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private,tr6236, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Local-gov,tr6237, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private,tr6238, 11th, Separated, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
 Private,tr6239, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private,tr6240, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, Germany, >50K
 Private,tr6241, Some-college, Separated, Other-service, Not-in-family, White, Male, United-States, >50K
 Self-emp-not-inc,tr6242, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private,tr6243, 11th, Divorced, Priv-house-serv, Unmarried, White, Female, Guatemala, <=50K
 Private,tr6244, Masters, Never-married, Craft-repair, Not-in-family, White, Female, United-States, <=50K
 Private,tr6245, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr6246, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private,tr6247, HS-grad, Never-married, Other-service, Other-relative, White, Male, United-States, <=50K
 Private,tr6248, Some-college, Never-married, Exec-managerial, Other-relative, White, Female, United-States, <=50K
 Private,tr6249, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc,tr6250, 7th-8th, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male, Italy, >50K
 ?,tr6251, Assoc-voc, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Private,tr6252, HS-grad, Widowed, Sales, Not-in-family, White, Female, United-States, <=50K
 Private,tr6253, Some-college, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private,tr6254, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States, <=50K
 Self-emp-inc,tr6255, Masters, Divorced, Sales, Unmarried, White, Female, United-States, >50K
 Private,tr6256, Some-college, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr6257, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male, United-States, <=50K
 Private,tr6258, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States, >50K
 Private,tr6259, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private,tr6260, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6261, HS-grad, Married-spouse-absent, Other-service, Not-in-family, Black, Female, Jamaica, <=50K
 Private,tr6262, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
 Private,tr6263, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr6264, HS-grad, Never-married, Other-service, Not-in-family, White, Male, Iran, <=50K
 Local-gov,tr6265, Some-college, Never-married, Other-service, Not-in-family, Black, Male, United-States, <=50K
 Private,tr6266, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, Italy, >50K
 Private,tr6267, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr6268, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr6269, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6270, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Local-gov,tr6271, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private,tr6272, HS-grad, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private,tr6273, 9th, Never-married, Handlers-cleaners, Other-relative, White, Male, Mexico, <=50K
 Private,tr6274, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Private,tr6275, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc,tr6276, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Private,tr6277, Some-college, Separated, Sales, Unmarried, White, Female, United-States, <=50K
 Private,tr6278, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 State-gov,tr6279, Some-college, Separated, Adm-clerical, Own-child, Black, Male, United-States, <=50K
 Self-emp-inc,tr6280, Masters, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Private,tr6281, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6282, Assoc-acdm, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
 Private,tr6283, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr6284, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr6285, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K
 Private,tr6286, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private,tr6287, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private,tr6288, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
 Private,tr6289, Some-college, Married-spouse-absent, Sales, Own-child, Black, Female, United-States, <=50K
 Private,tr6290, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, South, <=50K
 Private,tr6291, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female, United-States, <=50K
 Private,tr6292, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6293, Bachelors, Never-married, Sales, Not-in-family, White, Male, Jamaica, <=50K
 Private,tr6294, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, Greece, <=50K
 Private,tr6295, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6296, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr6297, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 ?,tr6298, Some-college, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Private,tr6299, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private,tr6300, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Private,tr6301, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private,tr6302, HS-grad, Widowed, Craft-repair, Unmarried, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6303, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 ?,tr6304, Some-college, Separated, ?, Unmarried, White, Male, United-States, <=50K
 Federal-gov,tr6305, 12th, Never-married, Adm-clerical, Own-child, Black, Male, United-States, <=50K
 State-gov,tr6306, Masters, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, >50K
 Private,tr6307, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6308, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female, United-States, <=50K
 Private,tr6309, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Private,tr6310, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
 Private,tr6311, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Private,tr6312, 11th, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
 Private,tr6313, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male, Jamaica, >50K
 Private,tr6314, Some-college, Divorced, Other-service, Own-child, White, Female, United-States, <=50K
 Private,tr6315, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Local-gov,tr6316, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
 Private,tr6317, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6318, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Federal-gov,tr6319, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6320, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 ?,tr6321, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 State-gov,tr6322, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Local-gov,tr6323, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private,tr6324, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr6325, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, <=50K
 Private,tr6326, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 Private,tr6327, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private,tr6328, Assoc-voc, Divorced, Tech-support, Not-in-family, White, Female, United-States, <=50K
 Private,tr6329, Assoc-voc, Never-married, Prof-specialty, Own-child, Other, Female, Jamaica, <=50K
 Private,tr6330, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6331, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6332, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private,tr6333, Bachelors, Never-married, Tech-support, Not-in-family, Black, Male, ?, <=50K
 Private,tr6334, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female, United-States, >50K
 Private,tr6335, HS-grad, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 ?,tr6336, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr6337, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private,tr6338, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6339, Assoc-voc, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr6340, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6341, HS-grad, Never-married, Sales, Unmarried, White, Male, United-States, <=50K
 Private,tr6342, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Private,tr6343, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 Private,tr6344, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 State-gov,tr6345, Some-college, Never-married, Other-service, Own-child, White, Female, United-States, <=50K
 Private,tr6346, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
 Private,tr6347, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private,tr6348, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male, United-States, <=50K
 Private,tr6349, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private,tr6350, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr6351, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
 Private,tr6352, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private,tr6353, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private,tr6354, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6355, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr6356, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private,tr6357, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private,tr6358, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private,tr6359, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Local-gov,tr6360, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Self-emp-inc,tr6361, 11th, Divorced, Sales, Not-in-family, White, Male, United-States, <=50K
 Private,tr6362, HS-grad, Divorced, Exec-managerial, Own-child, White, Male, United-States, <=50K
 Private,tr6363, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Local-gov,tr6364, 9th, Separated, Other-service, Other-relative, White, Female, United-States, <=50K
 Self-emp-inc,tr6365, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6366, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female, United-States, <=50K
 State-gov,tr6367, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr6368, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male, United-States, <=50K
 Private,tr6369, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6370, Bachelors, Divorced, Sales, Unmarried, White, Male, United-States, >50K
 Private,tr6371, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6372, 12th, Married-civ-spouse, Transport-moving, Husband, Black, Male, Jamaica, <=50K
 Private,tr6373, HS-grad, Married-spouse-absent, Farming-fishing, Other-relative, White, Male, Mexico, <=50K
 Private,tr6374, 11th, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Private,tr6375, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6376, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr6377, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6378, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6379, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private,tr6380, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private,tr6381, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private,tr6382, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, >50K
 Private,tr6383, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6384, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Male, United-States, <=50K
 Local-gov,tr6385, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr6386, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private,tr6387, HS-grad, Never-married, Handlers-cleaners, Other-relative, Black, Female, United-States, <=50K
 ?,tr6388, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 ?,tr6389, HS-grad, Separated, ?, Unmarried, White, Female, United-States, <=50K
 State-gov,tr6390, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6391, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Private,tr6392, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, ?, <=50K
 Private,tr6393, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6394, Masters, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private,tr6395, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private,tr6396, HS-grad, Divorced, Transport-moving, Own-child, White, Male, United-States, <=50K
 Private,tr6397, Some-college, Never-married, Other-service, Not-in-family, White, Female, Germany, <=50K
 Self-emp-not-inc,tr6398, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6399, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Private,tr6400, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6401, Bachelors, Widowed, Prof-specialty, Unmarried, White, Male, United-States, >50K
 Private,tr6402, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private,tr6403, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Self-emp-inc,tr6404, HS-grad, Divorced, Other-service, Not-in-family, White, Male, Canada, <=50K
 Private,tr6405, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, Iran, <=50K
 Self-emp-not-inc,tr6406, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Philippines, >50K
 Private,tr6407, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male, United-States, <=50K
 ?,tr6408, Bachelors, Divorced, ?, Not-in-family, White, Female, United-States, <=50K
 Private,tr6409, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private,tr6410, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States, <=50K
 Private,tr6411, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, Mexico, <=50K
 Local-gov,tr6412, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, United-States, <=50K
 Self-emp-not-inc,tr6413, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr6414, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6415, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc,tr6416, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private,tr6417, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, <=50K
 Private,tr6418, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private,tr6419, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6420, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, Germany, >50K
 ?,tr6421, Some-college, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private,tr6422, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6423, Some-college, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 Local-gov,tr6424, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private,tr6425, Some-college, Divorced, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private,tr6426, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Private,tr6427, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6428, 11th, Divorced, Priv-house-serv, Unmarried, Black, Female, United-States, <=50K
 Private,tr6429, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private,tr6430, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private,tr6431, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 State-gov,tr6432, Some-college, Never-married, Other-service, Unmarried, White, Female, United-States, <=50K
 Private,tr6433, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 Private,tr6434, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
 Private,tr6435, Some-college, Never-married, Adm-clerical, Other-relative, Black, Female, United-States, <=50K
 Local-gov,tr6436, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States, <=50K
 State-gov,tr6437, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6438, 11th, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private,tr6439, HS-grad, Never-married, Other-service, Not-in-family, White, Male, United-States, <=50K
 Local-gov,tr6440, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private,tr6441, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private,tr6442, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private,tr6443, 11th, Separated, Craft-repair, Unmarried, White, Female, United-States, <=50K
 Private,tr6444, Masters, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private,tr6445, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Federal-gov,tr6446, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Private,tr6447, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private,tr6448, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, Peru, <=50K
 Private,tr6449, HS-grad, Never-married, Sales, Unmarried, White, Female, Peru, <=50K
